model,method,failure_penalty,n,failures,loss
gpt54,B0,0.01,640,0,0.002923513659877101
gpt54,B0,0.1,640,0,0.002923513659877101
gpt54,B0,1.0,640,0,0.002923513659877101
gpt54,B6,0.01,640,0,0.002018497371937005
gpt54,B6,0.1,640,0,0.002018497371937005
gpt54,B6,1.0,640,0,0.002018497371937005
gpt54,DARC_online,0.01,640,0,0.0023606639927359753
gpt54,DARC_online,0.1,640,0,0.0023606639927359753
gpt54,DARC_online,1.0,640,0,0.0023606639927359753
gpt54,B4_online,0.01,640,0,0.0024614935372743764
gpt54,B4_online,0.1,640,0,0.0024614935372743764
gpt54,B4_online,1.0,640,0,0.0024614935372743764
gpt54,q5:DARC,0.01,640,0,0.0023380224697846577
gpt54,q5:DARC,0.1,640,0,0.0023380224697846577
gpt54,q5:DARC,1.0,640,0,0.0023380224697846577
gpt54,q5:B4,0.01,640,0,0.002483497106885481
gpt54,q5:B4,0.1,640,0,0.002483497106885481
gpt54,q5:B4,1.0,640,0,0.002483497106885481
gpt54,q5:B3_0,0.01,640,0,0.0029210619733134775
gpt54,q5:B3_0,0.1,640,0,0.0029210619733134775
gpt54,q5:B3_0,1.0,640,0,0.0029210619733134775
gpt54,q5:B3_1,0.01,640,0,0.002951609377211279
gpt54,q5:B3_1,0.1,640,0,0.002951609377211279
gpt54,q5:B3_1,1.0,640,0,0.002951609377211279
gpt54,q5:B3_2,0.01,640,0,0.002880892896876612
gpt54,q5:B3_2,0.1,640,0,0.002880892896876612
gpt54,q5:B3_2,1.0,640,0,0.002880892896876612
gpt54,q5:B3_3,0.01,640,0,0.002902852290834662
gpt54,q5:B3_3,0.1,640,0,0.002902852290834662
gpt54,q5:B3_3,1.0,640,0,0.002902852290834662
gpt54,q5:B3_4,0.01,640,0,0.0028662704129750003
gpt54,q5:B3_4,0.1,640,0,0.0028662704129750003
gpt54,q5:B3_4,1.0,640,0,0.0028662704129750003
gpt54,q5:B3_5,0.01,640,0,0.002765448518638811
gpt54,q5:B3_5,0.1,640,0,0.002765448518638811
gpt54,q5:B3_5,1.0,640,0,0.002765448518638811
gpt54,q5:B3_6,0.01,640,0,0.002811290789472998
gpt54,q5:B3_6,0.1,640,0,0.002811290789472998
gpt54,q5:B3_6,1.0,640,0,0.002811290789472998
gpt54,q5:B3_7,0.01,640,0,0.0029107103191531227
gpt54,q5:B3_7,0.1,640,0,0.0029107103191531227
gpt54,q5:B3_7,1.0,640,0,0.0029107103191531227
gpt54,q5:B3_8,0.01,640,0,0.0029469243172421766
gpt54,q5:B3_8,0.1,640,0,0.0029469243172421766
gpt54,q5:B3_8,1.0,640,0,0.0029469243172421766
gpt54,q5:B3_9,0.01,640,0,0.002890351403264658
gpt54,q5:B3_9,0.1,640,0,0.002890351403264658
gpt54,q5:B3_9,1.0,640,0,0.002890351403264658
gpt54,q5:B3_10,0.01,640,0,0.002823769561081503
gpt54,q5:B3_10,0.1,640,0,0.002823769561081503
gpt54,q5:B3_10,1.0,640,0,0.002823769561081503
gpt54,q5:B3_11,0.01,640,0,0.0028061981592840232
gpt54,q5:B3_11,0.1,640,0,0.0028061981592840232
gpt54,q5:B3_11,1.0,640,0,0.0028061981592840232
gpt54,q5:B3_12,0.01,640,0,0.002923513659877101
gpt54,q5:B3_12,0.1,640,0,0.002923513659877101
gpt54,q5:B3_12,1.0,640,0,0.002923513659877101
gpt54,q5:B3_13,0.01,640,0,0.002923513659877101
gpt54,q5:B3_13,0.1,640,0,0.002923513659877101
gpt54,q5:B3_13,1.0,640,0,0.002923513659877101
gpt54,q5:B3_14,0.01,640,0,0.0027912179753552067
gpt54,q5:B3_14,0.1,640,0,0.0027912179753552067
gpt54,q5:B3_14,1.0,640,0,0.0027912179753552067
gpt54,q5:B3_15,0.01,640,0,0.0029517902829904246
gpt54,q5:B3_15,0.1,640,0,0.0029517902829904246
gpt54,q5:B3_15,1.0,640,0,0.0029517902829904246
gpt54,q5:B3_16,0.01,640,0,0.0028999992061389244
gpt54,q5:B3_16,0.1,640,0,0.0028999992061389244
gpt54,q5:B3_16,1.0,640,0,0.0028999992061389244
gpt54,q5:B3_17,0.01,640,0,0.0028034885104267207
gpt54,q5:B3_17,0.1,640,0,0.0028034885104267207
gpt54,q5:B3_17,1.0,640,0,0.0028034885104267207
gpt54,q5:B3_18,0.01,640,0,0.0028739801948263464
gpt54,q5:B3_18,0.1,640,0,0.0028739801948263464
gpt54,q5:B3_18,1.0,640,0,0.0028739801948263464
gpt54,q5:B3_19,0.01,640,0,0.002849108603497112
gpt54,q5:B3_19,0.1,640,0,0.002849108603497112
gpt54,q5:B3_19,1.0,640,0,0.002849108603497112
gpt54,q10:DARC,0.01,640,0,0.0020683077680830387
gpt54,q10:DARC,0.1,640,0,0.0020683077680830387
gpt54,q10:DARC,1.0,640,0,0.0020683077680830387
gpt54,q10:B4,0.01,640,0,0.0024656258275292447
gpt54,q10:B4,0.1,640,0,0.0024656258275292447
