model,method,n,tsr,gtsr,degraded_ids,corrected_ids,common_utility_n,common_success_loss,failure_penalized_loss,direction_n,direction_accuracy,own_success_pairs,own_conditional_flip,all_pair_flip_or_failure,review_count,fallback_selected,logical_calls,tokens,token_missing_requests
gpt54,B0,640,1.0,1.0,[],[],640,0.002923513659877101,0.002923513659877101,640,0.9734375,960,0.23854166666666668,0.23854166666666668,0,0,640,301899,0
gpt54,B6,640,1.0,1.0,[],[],640,0.002018497371937005,0.002018497371937005,640,0.971875,960,0.16354166666666667,0.16354166666666667,640,0,1920,1142954,0
gpt54,DARC_online,640,1.0,1.0,[],[],640,0.0023606639927359753,0.0023606639927359753,640,0.975,960,0.203125,0.203125,27,0,1307,694761,0
gpt54,B4_online,640,1.0,1.0,[],[],640,0.002461493537274376,0.002461493537274376,640,0.975,960,0.22708333333333333,0.22708333333333333,49,0,1329,711094,0
gpt54,q5:DARC,640,1.0,1.0,[],[],640,0.0023380224697846577,0.0023380224697846577,640,0.975,960,0.19895833333333332,0.19895833333333332,32,0,1312,698624,0
gpt54,q5:B4,640,1.0,1.0,[],[],640,0.002483497106885481,0.002483497106885481,640,0.975,960,0.22083333333333333,0.22083333333333333,32,0,1312,699057,0
gpt54,q5:B3_0,640,1.0,1.0,[],[],640,0.0029210619733134775,0.0029210619733134775,640,0.9734375,960,0.23541666666666666,0.23541666666666666,32,0,1312,699852,0
gpt54,q5:B3_1,640,1.0,1.0,[],[],640,0.002951609377211279,0.002951609377211279,640,0.9734375,960,0.23958333333333334,0.23958333333333334,32,0,1312,699063,0
gpt54,q5:B3_2,640,1.0,1.0,[],[],640,0.002880892896876612,0.002880892896876612,640,0.9734375,960,0.23854166666666668,0.23854166666666668,32,0,1312,699292,0
gpt54,q5:B3_3,640,1.0,1.0,[],[],640,0.0029028522908346615,0.0029028522908346615,640,0.975,960,0.234375,0.234375,32,0,1312,699749,0
gpt54,q5:B3_4,640,1.0,1.0,[],[],640,0.0028662704129750003,0.0028662704129750003,640,0.971875,960,0.23020833333333332,0.23020833333333332,32,0,1312,699714,0
gpt54,q5:B3_5,640,1.0,1.0,[],[],640,0.002765448518638811,0.002765448518638811,640,0.9734375,960,0.23958333333333334,0.23958333333333334,32,0,1312,699516,0
gpt54,q5:B3_6,640,1.0,1.0,[],[],640,0.0028112907894729975,0.0028112907894729975,640,0.9734375,960,0.234375,0.234375,32,0,1312,699102,0
gpt54,q5:B3_7,640,1.0,1.0,[],[],640,0.0029107103191531227,0.0029107103191531227,640,0.9734375,960,0.23229166666666667,0.23229166666666667,32,0,1312,699262,0
gpt54,q5:B3_8,640,1.0,1.0,[],[],640,0.0029469243172421766,0.0029469243172421766,640,0.9734375,960,0.2375,0.2375,32,0,1312,699142,0
gpt54,q5:B3_9,640,1.0,1.0,[],[],640,0.002890351403264658,0.002890351403264658,640,0.971875,960,0.23541666666666666,0.23541666666666666,32,0,1312,700004,0
gpt54,q5:B3_10,640,1.0,1.0,[],[],640,0.002823769561081503,0.002823769561081503,640,0.9734375,960,0.23125,0.23125,32,0,1312,699560,0
gpt54,q5:B3_11,640,1.0,1.0,[],[],640,0.0028061981592840232,0.0028061981592840232,640,0.975,960,0.23333333333333334,0.23333333333333334,32,0,1312,699686,0
gpt54,q5:B3_12,640,1.0,1.0,[],[],640,0.002923513659877101,0.002923513659877101,640,0.9734375,960,0.23854166666666668,0.23854166666666668,32,0,1312,699678,0
